scope,version,delta_accuracy,delta_missing,delta_hallucination,delta_truthfulness
primary_20,b0,0.0,0.0,0.0,0.0
primary_20,a1,0.0,0.05,-0.04999999999999993,0.050000000000000044
primary_20,a2,0.0,0.05,-0.04999999999999993,0.050000000000000044
primary_20,a3,-0.04999999999999999,0.2,-0.1499999999999999,0.09999999999999998
primary_20,full,-0.04999999999999999,0.2,-0.1499999999999999,0.09999999999999998
