scope,version,total,correct,missing_count,hallucination_count,accuracy,missing,hallucination,truthfulness,coverage
all_30,b0,30,6,1,23,0.2,0.03333333333333333,0.7666666666666667,-0.5666666666666667,0.9666666666666667
all_30,a1,30,6,2,22,0.2,0.06666666666666667,0.7333333333333333,-0.5333333333333333,0.9333333333333333
all_30,a2,30,6,2,22,0.2,0.06666666666666667,0.7333333333333333,-0.5333333333333333,0.9333333333333333
all_30,a3,30,5,6,19,0.16666666666666666,0.2,0.6333333333333333,-0.4666666666666667,0.8
all_30,full,30,5,6,19,0.16666666666666666,0.2,0.6333333333333333,-0.4666666666666667,0.8
