seconds,memory_mib,utilization,power_w,temperature_c
1.643,10,0,46.54,32
6.65,10,0,46.49,32
11.658,10,0,46.49,32
16.67,10,0,46.54,32
21.678,1408,18,53.03,32
26.687,1720,0,53.03,32
31.694,1720,0,53.09,32
36.702,1720,0,53.09,32
41.71,2316,3,53.09,32
46.72,3400,0,53.42,32
51.727,3400,0,52.81,32
56.734,3400,0,53.03,32
61.741,3400,0,52.81,32
66.748,3400,0,53.09,32
71.754,24014,10,53.09,32
76.765,24014,7,53.03,32
81.772,24014,9,53.09,32
86.781,24014,7,53.09,32
91.789,24014,9,53.09,32
96.797,24014,10,53.42,32
101.804,24014,3,53.03,32
106.813,24014,3,53.37,32
111.822,24014,0,53.09,32
116.829,24014,0,53.09,33
121.837,27002,0,71.23,37
126.845,36116,1,52.48,33
131.851,36122,0,52.53,33
136.86,36166,0,52.53,33
141.872,36166,0,52.53,33
146.882,38686,55,116.55,38
151.891,38686,34,265.41,40
156.899,38686,31,232.69,42
161.911,38686,26,170.36,42
166.92,38686,35,117.77,41
171.929,38686,34,121.66,44
176.938,38686,100,347.57,53
181.953,38686,9,56.31,39
